"name_name","name_category","name_price","name_comment_count","name_comment_count_url","name_comment1","name_comment1_url","name_comment2","name_comment2_url","name_open"
"Jan Jan Kushikatsu","日本菜, 亞洲菜","","","","","","","",""
"Curry Leaf - Indian Cuisine","印度菜, 亞洲菜","","","","","","","",""
"1. 秋田浜燒食堂","海鮮","$$ - $$$","122 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d12669836-Reviews-Akita_Hamayaki-Hong_Kong.html#REVIEWS","“超美味甲羅燒 😋😋”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12669836-r723666401-Akita_Hamayaki-Hong_Kong.html","“又有得睇又有得食，正！”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12669836-r722422967-Akita_Hamayaki-Hong_Kong.html",""
"2. Scarlett Cafe & Wine Bar","法國菜, 酒吧","$$ - $$$","1,027 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d8353573-Reviews-Scarlett_Cafe_Wine_Bar-Hong_Kong.html#REVIEWS","“Scarlett餐厅的用餐体验很不错”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d8353573-r723746405-Scarlett_Cafe_Wine_Bar-Hong_Kong.html","“给姐姐庆生”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d8353573-r715484988-Scarlett_Cafe_Wine_Bar-Hong_Kong.html","正在營業"
"3. 大堂酒廊","酒吧, 國際菜","$$$$","1,149 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d2166297-Reviews-The_Lounge_Bar-Hong_Kong.html#REVIEWS","“感謝幫忙找回貴重物品”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2166297-r706842132-The_Lounge_Bar-Hong_Kong.html","“絕佳的小型商務會談地”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2166297-r704836848-The_Lounge_Bar-Hong_Kong.html","正在營業"
"4. Capo","意大利菜, 薄餅","$$ - $$$","845 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d10089430-Reviews-Capo-Hong_Kong.html#REVIEWS","“非常好”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10089430-r723663552-Capo-Hong_Kong.html","“唔错”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10089430-r698004494-Capo-Hong_Kong.html","正在營業"
"5. Tosca","意大利菜, 歐洲菜","$$$$","1,145 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d2161545-Reviews-Tosca_di_Angelo-Hong_Kong.html#REVIEWS","“dina”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2161545-r718742763-Tosca_di_Angelo-Hong_Kong.html","“无敌景观，午餐性价比好”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2161545-r717319047-Tosca_di_Angelo-Hong_Kong.html","正在營業"
"6. 文華廳","中菜, 亞洲菜","$$$$","637 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d1792423-Reviews-Man_Wah-Hong_Kong.html#REVIEWS","“難忘的優質美味晚餐，為了總廚黃永強師傅而來。”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1792423-r722536790-Man_Wah-Hong_Kong.html","“晚餐”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1792423-r722534503-Man_Wah-Hong_Kong.html","正在營業"
"7. Le Reve","法國菜","$$$$","144 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d11997741-Reviews-Le_Reve-Hong_Kong.html#REVIEWS","“氣氛很舒適”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d11997741-r720361627-Le_Reve-Hong_Kong.html","“高質餐廳之選”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d11997741-r715234904-Le_Reve-Hong_Kong.html","正在營業"
"8. 文華扒房及酒吧","歐洲菜","$$$$","646 則評論","https://www.tripadvisor.com.hk/Restaurant_Review-g294217-d941989-Reviews-Mandarin_Grill_Bar_at_Mandarin_Oriental_Hong_Kong-Hong_Kong.html#REVIEWS","“庆祝生日”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d941989-r723746674-Mandarin_Grill_Bar_at_Mandarin_Oriental_Hong_Kong-Hong_Kong.html","“美妙的生日之夜。永远是文华东方酒店的忠实粉丝。”","https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d941989-r716386926-Mandarin_Grill_Bar_at_Mandarin_Oriental_Hong_Kong-Hong_Kong.html","正在營業"
