,restaurant_name,restaurant_food,restaurant_price,restaurant_comment1,restaurant_comment1_url,restaurant_comment2,restaurant_comment2_url,restaurant_open_hours
0,1. 秋田浜燒食堂,海鮮,$$ - $$$,“鮑魚會郁嫁”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12669836-r721384433-Akita_Hamayaki-Hong_Kong.html,“水準一流。浜燒海鮮日本菜。”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12669836-r717622513-Akita_Hamayaki-Hong_Kong.html,
1,2. The Oyster House,海鮮,$$ - $$$,“高質西餐”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10463607-r719767797-The_Oyster_House-Hong_Kong.html,“超正生蠔”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10463607-r719093779-The_Oyster_House-Hong_Kong.html,正在營業
2,3. Scarlett Cafe & Wine Bar,"法國菜, 酒吧",$$ - $$$,“給姐姐慶生”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d8353573-r717507037-Scarlett_Cafe_Wine_Bar-Hong_Kong.html,“與朋友共進晚餐”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d8353573-r716014218-Scarlett_Cafe_Wine_Bar-Hong_Kong.html,正在營業
3,4. 大堂酒廊,"酒吧, 國際菜",$$$$,“感謝幫忙找回貴重物品”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2166297-r706842132-The_Lounge_Bar-Hong_Kong.html,“絕佳的小型商務會談地”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2166297-r704836848-The_Lounge_Bar-Hong_Kong.html,正在營業
4,5. Capo,"意大利菜, 薄餅",$$ - $$$,“好正”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10089430-r697764004-Capo-Hong_Kong.html,“唔錯”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d10089430-r697673242-Capo-Hong_Kong.html,正在營業
5,6. Tosca,"意大利菜, 歐洲菜",$$$$,“dina”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2161545-r718742763-Tosca_di_Angelo-Hong_Kong.html,“无敌景观，午餐性价比好”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2161545-r717319047-Tosca_di_Angelo-Hong_Kong.html,正在營業
6,7. Le Reve,法國菜,$$$$,“氣氛很舒適”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d11997741-r720361627-Le_Reve-Hong_Kong.html,“高質餐廳之選”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d11997741-r715234904-Le_Reve-Hong_Kong.html,正在營業
7,8. 文華廳,"中菜, 亞洲菜",$$$$,“特色四手晚宴”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1792423-r720051700-Man_Wah-Hong_Kong.html,“美味的食物 一流的服务”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1792423-r711024922-Man_Wah-Hong_Kong.html,正在營業
8,9. Braza Churrascaria Brazilian Steakhouse,"牛排, 巴西菜",$$ - $$$,“非常好”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d7808139-r712488204-Braza_Churrascaria_Brazilian_Steakhouse-Hong_Kong.html,“最赞的服务最香的肉！”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d7808139-r718542926-Braza_Churrascaria_Brazilian_Steakhouse-Hong_Kong.html,正在營業
9,10. 文華扒房及酒吧,歐洲菜,$$$$,“美妙的生日之夜。永远是文华东方酒店的忠实粉丝。”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d941989-r716386926-Mandarin_Grill_Bar_at_Mandarin_Oriental_Hong_Kong-Hong_Kong.html,“垂涎三尺赞不绝口”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d941989-r710439998-Mandarin_Grill_Bar_at_Mandarin_Oriental_Hong_Kong-Hong_Kong.html,正在營業
10,11. La Brata,"意大利菜, 地中海菜",$$ - $$$,“聚餐”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12556435-r690779457-La_Brata-Hong_Kong.html,“啲嘢食几好”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12556435-r677974784-La_Brata-Hong_Kong.html,正在營業
11,12. Cafe Gray,"國際菜, 歐洲菜",$$$$,“和朋友聚會的好地方”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1811943-r714735394-Cafe_Gray_Deluxe-Hong_Kong.html,“great high tea”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d1811943-r712448990-Cafe_Gray_Deluxe-Hong_Kong.html,正在營業
12,13. Bistecca Italian Steak House,"意大利菜, 牛排",$$ - $$$,“非常好”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2276403-r712488210-Bistecca_Italian_Steak_House-Hong_Kong.html,“牛排超出了预期！”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2276403-r718257771-Bistecca_Italian_Steak_House-Hong_Kong.html,正在營業
13,14. 天龍軒,"中菜, 亞洲菜",$$$$,“非常好的体验”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2399904-r720611131-Tin_Lung_Heen-Hong_Kong.html,“食物及服务均一流”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d2399904-r720610851-Tin_Lung_Heen-Hong_Kong.html,正在營業
14,15. VEA Restaurant and Lounge,"法國菜, 歐洲菜",$$$$,“非常有创意”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d9456925-r704478635-VEA_Restaurant_and_Lounge-Hong_Kong.html,“优雅的时光”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d9456925-r675602699-VEA_Restaurant_and_Lounge-Hong_Kong.html,正在營業
15,16. 長阪燒,"日本菜, 晚餐",$$ - $$$,“很棒的午市定食套餐”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13832460-r720666057-Nagasakayaki-Hong_Kong.html,“必試食材新鮮 日本餐廳”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13832460-r717188116-Nagasakayaki-Hong_Kong.html,正在營業
16,17. Gough's on Gough,"歐洲菜, 英國菜",$$$$,“装修好靓”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12669817-r711556258-Gough_s_on_Gough-Hong_Kong.html,“歌赋街上的歌赋”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12669817-r680989375-Gough_s_on_Gough-Hong_Kong.html,正在營業
17,18. Te Quiero Mucho,"墨西哥菜, 拉丁菜",$$ - $$$,“我是个墨西哥人，我认为这里的食物不错！”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15055588-r716019745-Te_Quiero_Mucho-Hong_Kong.html,“热天的冰早餐”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15055588-r718351917-Te_Quiero_Mucho-Hong_Kong.html,正在營業
18,19. Nathanhouse,"美國菜, 牛排",$$ - $$$,“浪漫🌹一聚”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d17322643-r721401052-Nathanhouse-Hong_Kong.html,“美麗聚會～”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d17322643-r721171106-Nathanhouse-Hong_Kong.html,正在營業
19,20. Odelice! (尖沙咀分店),"法國菜, 歐洲菜",$$ - $$$,“Love the dessert”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d14058027-r720608996-Odelice_Tsim_Sha_Tsui-Hong_Kong.html,“法式浪漫”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d14058027-r720506313-Odelice_Tsim_Sha_Tsui-Hong_Kong.html,正在營業
20,21. Komune,$$ - $$$,餐單,“還不錯”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d6963464-r690506092-Komune-Hong_Kong.html,“親切服務 食物出色”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d6963464-r673692426-Komune-Hong_Kong.html,正在營業
21,22. Burger Joys (太益樓),"美國菜, 酒吧",$$ - $$$,“出色漢堡包店”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13476178-r719673100-Burger_Joys_Tai_Yik_House-Hong_Kong.html,“正宗美式漢堡”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13476178-r717252685-Burger_Joys_Tai_Yik_House-Hong_Kong.html,
22,23. Ichu,"秘魯菜, 拉丁菜",$$$$,“2019年夏季餐厅周的午餐菜单”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15194359-r716112878-Ichu-Hong_Kong.html,“超级好的秘鲁食物”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d15194359-r718243333-Ichu-Hong_Kong.html,正在營業
23,24. Feather & Bone,"牛排, 熟食店",$$ - $$$,“食物服務環境非常好”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13303633-r717977545-Feather_Bone_Sai_Ying_Pun-Hong_Kong.html,“假日好去處”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d13303633-r714433821-Feather_Bone_Sai_Ying_Pun-Hong_Kong.html,正在營業
24,25. 吉地士,"法國菜, 歐洲菜",$$$$,“晚餐”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d788792-r690562318-Gaddi_s-Hong_Kong.html,“經典奢華法國菜之夜”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d788792-r686075848-Gaddi_s-Hong_Kong.html,正在營業
25,26. 欣圖軒,"中菜, 亞洲菜",$$$$,“香港中式点心”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d927163-r714662706-Yan_Toh_Heen_InterContinental_Hong_Kong-Hong_Kong.html,“环境味道服务俱佳”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d927163-r709888002-Yan_Toh_Heen_InterContinental_Hong_Kong-Hong_Kong.html,正在營業
26,27. 滿福樓,中菜,$$$$,“食物环境服务一流”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d797531-r712487090-Dynasty-Hong_Kong.html,“非常好吃的中国菜”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d797531-r720683381-Dynasty-Hong_Kong.html,正在營業
27,28. Amber,現代創意菜,$$$$,“水准不如以前高了”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d939504-r714967621-Amber-Hong_Kong.html,“非常非常好”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d939504-r688846414-Amber-Hong_Kong.html,正在營業
28,29. Le Pain Quotidien,"咖啡廳, 歐洲菜",$$ - $$$,“推荐”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12913326-r700150064-Le_Pain_Quotidien-Hong_Kong.html,“下午茶”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d12913326-r692503009-Le_Pain_Quotidien-Hong_Kong.html,正在營業
29,30. Caprice,"法國菜, 歐洲菜",$$$$,“最佳慶生活動的地點”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d912108-r712356777-Caprice_Central-Hong_Kong.html,“香港的夜晚”,https://www.tripadvisor.com.hk/ShowUserReviews-g294217-d912108-r705953596-Caprice_Central-Hong_Kong.html,正在營業
